Page,Location,Theme,Neighborhood,Streetview Embed Code,Source,Quote
196-197,53rd st and 3rd,Queer New York,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446322935198!6m8!1m7!1sI8EiP-iN6cwn9q3kZtA4cA!2m2!1d40.7576956!2d-73.9693831!3f300!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Gooch, Brad. City Poet: The Life and Times of Frank O’Hara. (1993)","He said, “There’s a special train. After you’ve done the Third Avenue bars, you take it at Fifty-third and Third and it goes right to West Eighth Street. And then you have all of Eighth Street.” 
- O’Hara, new to Manhattan, recalls cruising advice from his old roommate, Eliot House"
196-197,53rd st and 3rd,Queer New York,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446322935198!6m8!1m7!1sI8EiP-iN6cwn9q3kZtA4cA!2m2!1d40.7576956!2d-73.9693831!3f300!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","Gooch, Brad. City Poet: The Life and Times of Frank O’Hara. (1993)","quote 2: He said, “There’s a special train. After you’ve done the Third Avenue bars, you take it at Fifty-third and Third and it goes right to West Eighth Street. And then you have all of Eighth Street.” 
- O’Hara, new to Manhattan, recalls cruising advice from his old roommate, Eliot House"
