Rank,Page,Tour,Location,Streetview Embed Code,Source,Context,Preview,Quote,
,88,W-Cinematic New York,1 West 72nd Street.,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1447022911095!6m8!1m7!1ssOiD0RVUNd1Q2wUthLEMoQ!2m2!1d40.77610854196508!2d-73.9760366069169!3f328!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",Hawes,,"Bette Davis’s penthouse loft in <i>Deception</i>, all skylight view and grand piano, is said to be modeled on Leonard Bernstein’s first New York loft apartment.",,
,217,W-Cinematic New York,67 W 35th St,"<iframe src=""https://www.google.com/maps/embed?pb=!1m0!3m2!1sen!2sus!4v1446477326313!6m8!1m7!1sAyAfVXTL8jA3BPU-pxb2Sw!2m2!1d40.75025290793637!2d-73.98678599293832!3f222!4f0!5f0.7820865974627469"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>","POPism: The Warhol '60s by Andy Warhol, 1980",,The big nude theater craze hit in ’69. It was only the year before that police had stood by in San Francisco to arrest the Living Theater performers if they so much as started taking their clothes off. ,The big nude theater craze hit in ’69. It was only the year before that police had stood by in San Francisco to arrest the Living Theater performers if they so much as started taking their clothes off. Then all of a sudden the new thing was for performers to take all their clothes off and dance around completely naked on stage in long-playing well-advertised shows like <i>Oh! Calcutta!</i> and <i>Dionysus in ’69.</i>,
